BiolRepl;Community;drug_conc;Sample;experiment_number;plate_number;tech_repl;control;well;AUC;maxOD;finalOD
B1;C3;24;Sarela_B1_C3_24;Exp20;Plate1;TechRepl1;FALSE;C8;0.992333848531685;1.15128593040847;1.15128593040847
B1;C3;24;Sarela_B1_C3_24;Exp20;Plate2;TechRepl2;FALSE;C8;1.1225625;1.40595611285266;1.40595611285266
B2;C3;24;Sarela_B2_C3_24;Exp21;Plate3;TechRepl1;FALSE;F8;1.39653600729262;1.23316062176166;1.23316062176166
B2;C3;24;Sarela_B2_C3_24;Exp21;Plate4;TechRepl2;FALSE;F8;1.27300124091473;1.17261410788382;1.17261410788382
B3;C3;24;Sarela_B3_C3_24;Exp22;Plate3;TechRepl1;FALSE;D7;1.17994628469114;1.30260047281324;1.30023640661939
B3;C3;24;Sarela_B3_C3_24;Exp22;Plate4;TechRepl2;FALSE;D7;1.20610794786128;1.20403825717322;1.20403825717322
B1;C3;30;Sarela_B1_C3_30;Exp20;Plate1;TechRepl1;FALSE;C10;0.497496136012365;0.499243570347958;0.485627836611195
B1;C3;30;Sarela_B1_C3_30;Exp20;Plate2;TechRepl2;FALSE;C10;0.569125;0.617554858934169;0.617554858934169
B2;C3;30;Sarela_B2_C3_30;Exp21;Plate3;TechRepl1;FALSE;F10;1.11941659070191;1.05354058721934;1.05354058721934
B2;C3;30;Sarela_B2_C3_30;Exp21;Plate4;TechRepl2;FALSE;F10;1.03598652721149;1.01908713692946;1.01908713692946
B3;C3;30;Sarela_B3_C3_30;Exp22;Plate3;TechRepl1;FALSE;D9;0.72635034318114;0.867612293144208;0.867612293144208
B3;C3;30;Sarela_B3_C3_30;Exp22;Plate4;TechRepl2;FALSE;D9;0.75911721801327;0.83740701381509;0.83740701381509
B1;C3;40;Sarela_B1_C3_40;Exp20;Plate1;TechRepl1;FALSE;C12;0.368098918083462;0.783661119515885;0.783661119515885
B1;C3;40;Sarela_B1_C3_40;Exp20;Plate2;TechRepl2;FALSE;C12;0.4775625;0.948275862068966;0.948275862068966
B2;C3;40;Sarela_B2_C3_40;Exp21;Plate3;TechRepl1;FALSE;F12;0.476640838650866;0.752158894645941;0.752158894645941
B2;C3;40;Sarela_B2_C3_40;Exp21;Plate4;TechRepl2;FALSE;F12;0.435383797199078;0.708713692946058;0.708713692946058
B3;C3;40;Sarela_B3_C3_40;Exp22;Plate3;TechRepl1;FALSE;D11;0.490947975728638;0.854609929078014;0.854609929078014
B3;C3;40;Sarela_B3_C3_40;Exp22;Plate4;TechRepl2;FALSE;D11;0.409063102912804;0.751328374070138;0.751328374070138
B1;C4;Zn;Sarela_B1_C4_Zn;Exp20;Plate1;TechRepl1;FALSE;D1;1.89498730964467;2.29919678714859;2.28915662650602
B1;C4;Zn;Sarela_B1_C4_Zn;Exp20;Plate2;TechRepl2;FALSE;D1;1.71391580972109;2.146110056926;2.146110056926
B2;C4;Zn;Sarela_B2_C4_Zn;Exp21;Plate3;TechRepl1;FALSE;H1;1.2911200110482;1.35218783351121;1.35218783351121
B2;C4;Zn;Sarela_B2_C4_Zn;Exp21;Plate4;TechRepl2;FALSE;H1;1.42949139795055;1.43868921775899;1.43868921775899
B3;C4;Zn;Sarela_B3_C4_Zn;Exp22;Plate3;TechRepl1;FALSE;F1;1.28607714572627;1.5593705293276101;1.5593705293276101
B3;C4;Zn;Sarela_B3_C4_Zn;Exp22;Plate4;TechRepl2;FALSE;F1;1.56212933190425;1.82978723404255;1.82978723404255
B1;C4;0;Sarela_B1_C4_0;Exp20;Plate1;TechRepl1;TRUE;D2;1;1.05823293172691;1
B1;C4;0;Sarela_B1_C4_0;Exp20;Plate2;TechRepl2;TRUE;D2;1;1.09297912713472;1
B2;C4;0;Sarela_B2_C4_0;Exp21;Plate3;TechRepl1;TRUE;H2;1;1;1
B2;C4;0;Sarela_B2_C4_0;Exp21;Plate4;TechRepl2;TRUE;H2;1;1;1
B3;C4;0;Sarela_B3_C4_0;Exp22;Plate3;TechRepl1;TRUE;F2;1;1;1
B3;C4;0;Sarela_B3_C4_0;Exp22;Plate4;TechRepl2;TRUE;F2;1;1;1
B1;C4;24;Sarela_B1_C4_24;Exp20;Plate1;TechRepl1;FALSE;D8;0.95058692893401;1.09437751004016;0.913654618473896
B1;C4;24;Sarela_B1_C4_24;Exp20;Plate2;TechRepl2;FALSE;D8;0.869201745949545;0.975332068311195;0.897533206831119
B2;C4;24;Sarela_B2_C4_24;Exp21;Plate3;TechRepl1;FALSE;H8;1.5997330018874;1.49519743863394;1.49519743863394
B2;C4;24;Sarela_B2_C4_24;Exp21;Plate4;TechRepl2;FALSE;H8;1.64289743348689;1.52114164904863;1.52114164904863
B3;C4;24;Sarela_B3_C4_24;Exp22;Plate3;TechRepl1;FALSE;F7;1.06627680311891;1.14592274678112;1.14592274678112
B3;C4;24;Sarela_B3_C4_24;Exp22;Plate4;TechRepl2;FALSE;F7;1.27388352983208;1.28641571194763;1.28641571194763
B1;C4;30;Sarela_B1_C4_30;Exp20;Plate1;TechRepl1;FALSE;D10;0.524984137055838;0.560240963855422;0.5
B1;C4;30;Sarela_B1_C4_30;Exp20;Plate2;TechRepl2;FALSE;D10;0.508914700007398;0.571157495256167;0.521821631878558
B2;C4;30;Sarela_B2_C4_30;Exp21;Plate3;TechRepl1;FALSE;H10;1.30327302858721;1.28601921024546;1.28601921024546
B2;C4;30;Sarela_B2_C4_30;Exp21;Plate4;TechRepl2;FALSE;H10;1.24739118172417;1.22938689217759;1.22938689217759
B3;C4;30;Sarela_B3_C4_30;Exp22;Plate3;TechRepl1;FALSE;F9;0.550180164215252;0.587982832618026;0.526466380543634
B3;C4;30;Sarela_B3_C4_30;Exp22;Plate4;TechRepl2;FALSE;F9;0.649446230796713;0.662847790507365;0.587561374795417
B1;C4;40;Sarela_B1_C4_40;Exp20;Plate1;TechRepl1;FALSE;D12;0.592480964467005;1.32931726907631;1.32931726907631
B1;C4;40;Sarela_B1_C4_40;Exp20;Plate2;TechRepl2;FALSE;D12;0.59443663534808;1.28083491461101;1.28083491461101
B2;C4;40;Sarela_B2_C4_40;Exp21;Plate3;TechRepl1;FALSE;H12;0.409289692952171;0.694770544290288;0.694770544290288
B2;C4;40;Sarela_B2_C4_40;Exp21;Plate4;TechRepl2;FALSE;H12;0.393955062517627;0.650105708245243;0.650105708245243
B3;C4;40;Sarela_B3_C4_40;Exp22;Plate3;TechRepl1;FALSE;F11;0.729517396184063;1.19885550786838;1.19885550786838
B3;C4;40;Sarela_B3_C4_40;Exp22;Plate4;TechRepl2;FALSE;F11;0.879885673454805;1.36170212765957;1.36170212765957
B1;C5;Zn;Sarela_B1_C5_Zn;Exp20;Plate1;TechRepl1;FALSE;E1;1.06369216553363;1.17626527050611;1.17626527050611
B1;C5;Zn;Sarela_B1_C5_Zn;Exp20;Plate2;TechRepl2;FALSE;E1;1.17504848093083;1.29794520547945;1.29794520547945
B2;C5;Zn;Sarela_B2_C5_Zn;Exp21;Plate3;TechRepl1;FALSE;D1;1.11635926222935;1.11714770797963;1.11714770797963
B2;C5;Zn;Sarela_B2_C5_Zn;Exp21;Plate4;TechRepl2;FALSE;D1;1.17857408095061;1.15;1.15
B3;C5;Zn;Sarela_B3_C5_Zn;Exp22;Plate3;TechRepl1;FALSE;H1;1.24141481436618;1.46776611694153;1.46776611694153
B3;C5;Zn;Sarela_B3_C5_Zn;Exp22;Plate4;TechRepl2;FALSE;H1;1.29417712484387;1.48023426061493;1.48023426061493
B1;C5;0;Sarela_B1_C5_0;Exp20;Plate1;TechRepl1;TRUE;E2;1;1.08376963350785;1
B1;C5;0;Sarela_B1_C5_0;Exp20;Plate2;TechRepl2;TRUE;E2;1;1.09075342465753;1
B2;C5;0;Sarela_B2_C5_0;Exp21;Plate3;TechRepl1;TRUE;D2;1;1;1
B2;C5;0;Sarela_B2_C5_0;Exp21;Plate4;TechRepl2;TRUE;D2;1;1;1
B3;C5;0;Sarela_B3_C5_0;Exp22;Plate3;TechRepl1;TRUE;H2;1;1;1
B3;C5;0;Sarela_B3_C5_0;Exp22;Plate4;TechRepl2;TRUE;H2;1;1.00146412884334;1
B1;C5;24;Sarela_B1_C5_24;Exp20;Plate1;TechRepl1;FALSE;E8;0.905286779750512;1.05410122164049;1.05410122164049
B1;C5;24;Sarela_B1_C5_24;Exp20;Plate2;TechRepl2;FALSE;E8;0.960051712992889;1.10616438356164;1.1027397260274
B2;C5;24;Sarela_B2_C5_24;Exp21;Plate3;TechRepl1;FALSE;D8;1.27582197273456;1.13327674023769;1.13327674023769
B2;C5;24;Sarela_B2_C5_24;Exp21;Plate4;TechRepl2;FALSE;D8;1.32476791682139;1.17049180327869;1.17049180327869
B3;C5;24;Sarela_B3_C5_24;Exp22;Plate3;TechRepl1;FALSE;H7;0.968021319120586;1.08395802098951;1.08395802098951
B3;C5;24;Sarela_B3_C5_24;Exp22;Plate4;TechRepl2;FALSE;H7;0.881103907690478;0.989751098096633;0.989751098096633
B1;C5;30;Sarela_B1_C5_30;Exp20;Plate1;TechRepl1;FALSE;E10;0.509075308560491;0.609075043630017;0.609075043630017
B1;C5;30;Sarela_B1_C5_30;Exp20;Plate2;TechRepl2;FALSE;E10;0.503038138332256;0.674657534246575;0.674657534246575
